name,year
Homo sapiens,1758
Homo neanderthalensis,1864
Homo erectus,1892
Homo heidelbergensis,1908
Australopithecus africanus,1925
Paranthropus robustus,1938
Australopithecus prometheus,1948
Zinjanthropus boisei,1959
Homo habilis,1964
Paraustralopithecus aethiopicus,1968
Homo ergaster,1975
Australopithecus afarensis,1978
Homo daliensis,1981
Homo rudolfensis,1986
Austalopithecus ramidus,1994
Australopithecus anamensis,1995
Australopithecus bahrelghazali,1996
Homo antecessor,1997
Australopithecus garhi,1999
Kenyanthropus platyops,2001
Orrorin tugenensis,2001
Sahelanthropus tchadensis,2002
Homo georgicus,2002
Homo cepranensis,2003
Homo floresiensis,2004
Ardipithecus kadabba,2004
Australopithecus sediba,2010
Homo altaiensis,2011
Australopithecus deyiremeda,2015
Homo naledi,2015
Homo luzonensis,2019
Homo longi,2021